"Time","{cpu=""total"", endpoint=""https-metrics"", id=""/kubepods/besteffort/podb1dc00c5-9306-4652-b735-a530c83df5ef"", instance=""192.168.39.96:10250"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", namespace=""app"", node=""minikube"", pod=""my-app-deployment-646594f7b7-674rg"", service=""prometheus-operator-kube-p-kubelet""}"
2025-05-05 14:59:00,0.00184
2025-05-05 14:59:20,0.00265
2025-05-05 14:59:40,0.00268
2025-05-05 15:00:00,0.00248
2025-05-05 15:00:20,0.00282
2025-05-05 15:00:40,0.00286
2025-05-05 15:01:00,0.00294
2025-05-05 15:01:20,0.00288
2025-05-05 15:01:40,0.00251
2025-05-05 15:02:00,0.00324
2025-05-05 15:02:20,0.00315
2025-05-05 15:02:40,0.00284
2025-05-05 15:03:00,0.00290
2025-05-05 15:03:20,0.00274
2025-05-05 15:03:40,0.00286
2025-05-05 15:04:00,0.00298
2025-05-05 15:04:20,0.00291
2025-05-05 15:04:40,0.00290
2025-05-05 15:05:00,0.00309
2025-05-05 15:05:20,0.00333
2025-05-05 15:05:40,0.00297
2025-05-05 15:06:00,0.00211
2025-05-05 15:06:20,0.00282
2025-05-05 15:06:40,0.00503
2025-05-05 15:07:00,0.00513
2025-05-05 15:07:20,0.00260
2025-05-05 15:07:40,0.00304
2025-05-05 15:08:00,0.00292
2025-05-05 15:08:20,0.00288
2025-05-05 15:08:40,0.00279
2025-05-05 15:09:00,0.00272
2025-05-05 15:09:20,0.00298
2025-05-05 15:09:40,0.00624
2025-05-05 15:10:00,0.0954
2025-05-05 15:10:20,0.137
2025-05-05 15:10:40,0.135
2025-05-05 15:11:00,0.130
2025-05-05 15:11:20,0.135
2025-05-05 15:11:40,0.146
2025-05-05 15:12:00,0.134
2025-05-05 15:12:20,0.126
2025-05-05 15:12:40,0.132
2025-05-05 15:13:00,0.140
2025-05-05 15:13:20,0.143
2025-05-05 15:13:40,0.146
2025-05-05 15:14:00,0.139
2025-05-05 15:14:20,0.134
2025-05-05 15:14:40,0.136
2025-05-05 15:15:00,0.119
2025-05-05 15:15:20,0.148
2025-05-05 15:15:40,0.154
2025-05-05 15:16:00,0.150
2025-05-05 15:16:20,0.143
2025-05-05 15:16:40,0.142
2025-05-05 15:17:00,0.146
2025-05-05 15:17:20,0.138
2025-05-05 15:17:40,0.128
2025-05-05 15:18:00,0.121
2025-05-05 15:18:20,0.121
2025-05-05 15:18:40,0.124
2025-05-05 15:19:00,0.126
2025-05-05 15:19:20,0.123
2025-05-05 15:19:40,0.120
2025-05-05 15:20:00,0.120
2025-05-05 15:20:20,0.122
2025-05-05 15:20:40,0.122
2025-05-05 15:21:00,0.120
2025-05-05 15:21:20,0.117
2025-05-05 15:21:40,0.118
2025-05-05 15:22:00,0.101
2025-05-05 15:22:20,0.115
2025-05-05 15:22:40,0.128
2025-05-05 15:23:00,0.138
2025-05-05 15:23:20,0.140
2025-05-05 15:23:40,0.151
2025-05-05 15:24:00,0.129
2025-05-05 15:24:20,0.143
2025-05-05 15:24:40,0.146
2025-05-05 15:25:00,0.121
2025-05-05 15:25:20,0.117
2025-05-05 15:25:40,0.147
2025-05-05 15:26:00,0.150
2025-05-05 15:26:20,0.145
2025-05-05 15:26:40,0.118
2025-05-05 15:27:00,0.142
2025-05-05 15:27:20,0.138
2025-05-05 15:27:40,0.140
2025-05-05 15:28:00,0.139
2025-05-05 15:28:20,0.147
2025-05-05 15:28:40,0.148
2025-05-05 15:29:00,0.146
2025-05-05 15:29:20,0.143
2025-05-05 15:29:40,0.145
2025-05-05 15:30:00,0.112